"pid","gene","genes"
"Q7TMF2","Eri1","Eri1 3'exo Thex1"
"Q7TMF5","Serpina12","Serpina12"
"Q7TMI3","Uhrf2","Uhrf2 Nirf"
"Q7TMK6","Hook2","Hook2"
"Q7TMK9","Syncrip","Syncrip Hnrpq Nsap1 Nsap1l"
"Q7TMM8","Parp16","Parp16 Artd15"
"Q7TMM9","Tubb2a","Tubb2a Tubb2"
"Q7TMR0","Prcp","Prcp"
"Q7TMS5","Abcg2","Abcg2 Abcp Bcrp1"
"Q7TMV1","Rnf139","Rnf139"
"Q7TMY4","Thoc7","Thoc7 Nif3l1bp1"
"Q7TMY8","Huwe1","Huwe1 Kiaa0312 Ureb1"
"Q7TN08","Dact2","Dact2 Dpr2 Frd2"
"Q7TN12","Inava","Inava"
"Q7TN16","Hhip","Hhip Hip"
"Q7TN29","Smap2","Smap2 Smap1l"
"Q7TN37","Trpm4","Trpm4 Ltrpc4"
"Q7TN75","Peg10","Peg10 Edr Mar2 Mart2 Mef3l1 Rgag3"
"Q7TN79","Akap7","Akap7 Akap18"
"Q7TN83","Syt16","Syt16 Strep14 Syt14l Syt14r"
"Q7TN89","Eras","Eras"
"Q7TN98","Cpeb4","Cpeb4 Kiaa1673"
"Q7TN99","Cpeb3","Cpeb3 Kiaa0940"
"Q7TNB8","Sbno2","Sbno2 Sno Stno"
"Q7TNC4","Luc7l2","Luc7l2"
"Q7TNC6","Kif26b","Kif26b"
"Q7TNC8","Glra2","Glra2"
"Q7TNC9","Inpp5a","Inpp5a"
"Q7TNF8","Tspoap1","Tspoap1 Bzrap1 Kiaa0612 Rbp1"
"Q7TNH6","Nphp3","Nphp3 Kiaa2000"
"Q7TNI7","Il17f","Il17f"
"Q7TNJ0","Dcstamp","Dcstamp Tm7sf4"
"Q7TNK1","Rfx4","Rfx4"
"Q7TNL3","Stk40","Stk40 Lyk4"
"Q7TNM2","Trim46","Trim46 Trific"
"Q7TNR6","Igsf21","Igsf21"
"Q7TNS8","Epop","Epop E13"
"Q7TNV0","Dek","Dek"
"Q7TNV1","Tlcd3b","Tlcd3b Fam57b"
"Q7TPD1","Fbxo11","Fbxo11"
"Q7TPD3","Robo2","Robo2 Kiaa1568"
"Q7TPG5","Tafa4","Tafa4 Fam19a4"
"Q7TPH6","Mycbp2","Mycbp2 Pam Phr1"
"Q7TPM3","Trim17","Trim17"
"Q7TPM5","Spaca9","Spaca9"
"Q7TPQ3","Shprh","Shprh"
"Q7TPQ9","Arrdc3","Arrdc3 Kiaa1376"
"Q7TPR4","Actn1","Actn1"
"Q7TPS0","Rps6ka6","Rps6ka6"
"Q7TPS5","C2cd5","C2cd5 Cdp138 Kiaa0528"
"Q7TPV4","Mybbp1a","Mybbp1a P160"
"Q7TQ32","Hjv","Hjv Hfe2 Rgmc"
"Q7TQ33","Rgmb","Rgmb"
"Q7TQ40","Zic5","Zic5 Opr"
"Q7TQ95","Lnpk","Lnpk Kiaa1715 Lnp Uln"
"Q7TQA1","Igsf1","Igsf1 Kiaa0364"
"Q7TQC5","Aptx","Aptx"
"Q7TQD2","Tppp","Tppp"
"Q7TQE6","Maco1","Maco1 Tmem57"
"Q7TQF7","Amph","Amph Amph1"
"Q7TQH7","Lrp10","Lrp10 Lrp9"
"Q7TQI3","Otub1","Otub1"
"Q7TQI8","Tspyl2","Tspyl2 Cinap Dentt DXBwg1396e Tspx"
"Q7TQJ8","Wtip","Wtip"
"Q7TQK0","Ccnt2","Ccnt2"
"Q7TQK4","Exosc3","Exosc3 Rrp40"
"Q7TQN3","Wfikkn2","Wfikkn2 Gasp1"
"Q7TQQ0","Or4e2","Or4e2 MOR244-3 MOR83 Olfr1509"
"Q7TS55","Tnfsf18","Tnfsf18 Gitrl"
"Q7TS63","Zfat","Zfat Gm922 Zfat1 Zfp406 Znf406"
"Q7TS73","Rflna","Rflna Cfm2 Fam101a"
"Q7TS75","Amer1","Amer1 Fam123b"
"Q7TS99","Helt","Helt Hesl Mgn"
"Q7TSA3","Btla","Btla"
"Q7TSD4","Tbata","Tbata Spatial"
"Q7TSE6","Stk38l","Stk38l Ndr2"
"Q7TSF0","Dsg1c","Dsg1c Dsg6"
"Q7TSF1","Dsg1b","Dsg1b Dsg5"
"Q7TSG1","Cep120","Cep120 Ccdc100"
"Q7TSG2","Ctdp1","Ctdp1 Fcp1"
"Q7TSG3","Fbxo5","Fbxo5 Emi1"
"Q7TSH3","Znf516","Znf516 Kiaa0222 Zfp516"
"Q7TSH4","Ccp110","Ccp110 Cep110 Cp110 Kiaa0419"
"Q7TSI1","Plekhm1","Plekhm1"
"Q7TSJ2","Map6","Map6 Mtap6"
"Q7TSJ6","Lats2","Lats2"
"Q7TSK2","Sez6","Sez6 Kiaa4158"
"Q7TSK3","Pcdh8","Pcdh8 Papc"
"Q7TSK7","Adamtsl2","Adamtsl2 Kiaa0605 Tcp1"
"Q7TSN2","Cd300c2","Cd300c2 Cd300c Clm4 Igsf7 Lmir2"
"Q7TSN7","Igsf5","Igsf5 Jam4"
"Q7TSP5","Vtcn1","Vtcn1 B7h4"
"Q7TSS2","Ube2q1","Ube2q1 Ube2q"
"Q7TST5","Lamp3","Lamp3"
"Q7TSU7","Kirrel2","Kirrel2 Neph3"
"Q7TSV4","Pgm2","Pgm2 Pgm1"
"Q7TSV9","Enkd1","Enkd1"
"Q7TSY6","Celf4","Celf4 Brul4 Brunol4"
"Q7TSY8","Sgo2","Sgo2 Sgol2 Sgol2a"
"Q7TSZ8","Nacc1","Nacc1 Btbd14b Nac1"
"Q7TT00","Supt20h","Supt20h D3Ertd300e Fam48a Supt20"
"Q7TT15","Galnt17","Galnt17 Wbscr17"
"Q7TT16","Ipmk","Ipmk Impk Ipk2"
"Q7TT18","Atf7ip","Atf7ip Mcaf1"
"Q7TT37","Elp1","Elp1 Ikap Ikbkap"
"Q7TT45","Rragd","Rragd Ragd"
"Q7TT50","Cdc42bpb","Cdc42bpb Kiaa1124"
"Q7TT79","Mcph1","Mcph1"
"Q80ST9","Lca5","Lca5"
"Q80SU3","Zar1","Zar1"
"Q80SU6","Slc34a3","Slc34a3 Npt2c"
"Q80SW1","Ahcyl1","Ahcyl1 Irbit"
"Q80SX8","Pif1","Pif1"
"Q80SY4","Mib1","Mib1 Dip1 Kiaa1323 Mib"
"Q80T11","Ush1g","Ush1g Sans"
"Q80T14","Fras1","Fras1 Kiaa1500"
"Q80T19","Hamp2","Hamp2 Hepc2"
"Q80T21","Adamtsl4","Adamtsl4 Tsrc1"
"Q80T41","Gabbr2","Gabbr2 Gm425 Gpr51"
"Q80TD3","Fnip2","Fnip2 Kiaa1450 Mapo1"
"Q80TE7","Lrrc7","Lrrc7 Kiaa1365 Lap1"
"Q80TG9","Lrfn2","Lrfn2 Kiaa1246 Salm1"
"Q80TH2","Erbin","Erbin Erbb2ip Kiaa1225 Lap2"
"Q80TI0","Gramd1b","Gramd1b Kiaa1201"
"Q80TJ1","Cadps","Cadps Caps Caps1 Kiaa1121"
"Q80TJ7","Phf8","Phf8 Kiaa1111"
"Q80TL0","Ppm1e","Ppm1e Camkn Kiaa1072"
"Q80TL1","Adcy2","Adcy2 Kiaa1060"
"Q80TM9","Nisch","Nisch Kiaa0975"
"Q80TN5","Zdhhc17","Zdhhc17 Hip14 Kiaa0946"
"Q80TN7","Nav3","Nav3 Kiaa0938 Pomfil1"
"Q80TP3","Ubr5","Ubr5 Edd Edd1 Kiaa0896"
"Q80TQ2","Cyld","Cyld Cyld1 Kiaa0849"
"Q80TR1","Adgrl1","Adgrl1 Kiaa0821 Lec2 Lphn1"
"Q80TR4","Slit1","Slit1 Kiaa0813"
"Q80TR8","Dcaf1","Dcaf1 Kiaa0800 Vprbp"
"Q80TS3","Adgrl3","Adgrl3 Kiaa0768 Lec3 Lphn3"
"Q80TS5","Znf423","Znf423 Ebfaz Kiaa0760 Nur12 Oaz Zfp423"
"Q80TS7","Ddn","Ddn Gm748 Kiaa0749"
"Q80TT2","Baiap3","Baiap3 Gm937 Kiaa0734"
"Q80TT8","Cul9","Cul9 Kiaa0708 Parc"
"Q80TV8","Clasp1","Clasp1 Kiaa0622"
"Q80TY0","Fnbp1","Fnbp1 Fbp17 Kiaa0554"
"Q80TY5","Vps13b","Vps13b Coh1 Kiaa0532"
"Q80TZ3","Dnajc6","Dnajc6 Kiaa0473"
"Q80TZ9","Rere","Rere Atr2 Kiaa0458"
"Q80U04","Pja2","Pja2 Kiaa0438 Rnf131"
"Q80U16","Ripor2","Ripor2 Fam65b Kiaa0386"
"Q80U19","Daam2","Daam2 Kiaa0381"
"Q80U28","Madd","Madd Kiaa0358"
"Q80U30","Clec16a","Clec16a Kiaa0350"
"Q80U40","Rimbp2","Rimbp2 Kiaa0318 Rbp2"
"Q80U58","Pum2","Pum2 Kiaa0235"
"Q80U62","Rubcn","Rubcn Kiaa0226"
"Q80U63","Mfn2","Mfn2 Kiaa0214 Marf"
"Q80U70","Suz12","Suz12 D11Ertd530e Kiaa0160"
"Q80U72","Scrib","Scrib Kiaa0147 Lap4 Scrib1"
"Q80U78","Pum1","Pum1 Kiaa0099"
"Q80U87","Usp8","Usp8 Kiaa0055 Ubpy"
"Q80U93","Nup214","Nup214 Kiaa0023"
"Q80UC6","Gpr62","Gpr62"
"Q80UE6","Wnk4","Wnk4 Prkwnk4"
"Q80UF4","Sdccag8","Sdccag8 Cccap"
"Q80UF7","Ticam1","Ticam1 Trif"
"Q80UF9","Otop3","Otop3"
"Q80UG2","Plxna4","Plxna4 Kiaa1550"
"Q80UG5","Septin9","Septin9 Kiaa0991 Sept9 Sint1"
"Q80UG8","Ttll4","Ttll4 Kiaa0173"
"Q80UJ7","Rab3gap1","Rab3gap1 Kiaa0066 Rab3gap"
"Q80UJ9","Setmar","Setmar"
"Q80UK7","Sass6","Sass6 Sas6"
"Q80UL9","Jaml","Jaml Amica1 Gm638"
"Q80UM3","Naa15","Naa15 Narg1 Nat1 Tbdn-1 Tubedown"
"Q80UM7","Mogs","Mogs Gcs1"
"Q80UN9","Trit1","Trit1 Ipt"
"Q80UP3","Dgkz","Dgkz"
"Q80UP8","Slc20a2","Slc20a2 Pit2"
"Q80US4","Actr5","Actr5"
"Q80UU9","Pgrmc2","Pgrmc2"
"Q80UV9","Taf1","Taf1 Ccg1"
"Q80UW0","Hs6st2","Hs6st2"
"Q80UW2","Fbxo2","Fbxo2 Fbs1 Fbx2"
"Q80UW3","Rinl","Rinl"
"Q80UW5","Cdc42bpg","Cdc42bpg"
"Q80UY2","Kcmf1","Kcmf1 Debt91"
"Q80V26","Bpnt2","Bpnt2 Impa3 Impad1"
"Q80V62","Fancd2","Fancd2"
"Q80V63","Prdm4","Prdm4"
"Q80V72","Ip6k2","Ip6k2 Ihpk2"
"Q80V85","Trim62","Trim62"
"Q80VA0","Galnt7","Galnt7"
"Q80VC9","Camsap3","Camsap3 Kiaa1543"
"Q80VH0","Bank1","Bank1"
"Q80VI1","Trim56","Trim56"
"Q80VJ2","Sra1","Sra1"
"Q80VJ6","Zscan4c","Zscan4c Gm397"
"Q80VJ8","Kash5","Kash5 Ccdc155"
"Q80VL1","Tdrkh","Tdrkh Tdrd2"
"Q80VM7","Ankrd24","Ankrd24"
"Q80VM9","Otop1","Otop1"
"Q80VP1","Epn1","Epn1"
"Q80VP2","Spata7","Spata7"
"Q80VQ0","Aldh3b1","Aldh3b1 Aldh7"
"Q80VR2","Ell3","Ell3"
"Q80VR3","Sult1c1","Sult1c1 Sult1a2"
"Q80VU4","Ntf4","Ntf4 Ntf5"
"Q80VW5","Whrn","Whrn Dfnb31 Kiaa1526"
"Q80VW7","Akna","Akna Kiaa1968"
"Q80VY9","Dhx33","Dhx33"
"Q80W00","Ppp1r10","Ppp1r10 Cat53 Pnuts"
"Q80W32","Iqcg","Iqcg Drc9"
"Q80W47","Wipi2","Wipi2"
"Q80W54","Zmpste24","Zmpste24 Face1"
"Q80W65","Pcsk9","Pcsk9 Narc1"
"Q80W68","Kirrel1","Kirrel1 Kirrel Neph1"
"Q80W85","Npm2","Npm2"
"Q80W88","Homez","Homez Kiaa1443"
"Q80W93","Hydin","Hydin Hy3"
"Q80W94","Mogat2","Mogat2 Dgat2l5 Mgat1l"
"Q80W99","Catsper3","Catsper3"
"Q80WB5","Ntaq1","Ntaq1 Wdyhv1"
"Q80WC9","Aasdh","Aasdh Acsf4 U26"
"Q80WE4","Kif20b","Kif20b Mphosph1"
"Q80WG5","Lrrc8a","Lrrc8a Lrrc8"
"Q80WG7","Trim36","Trim36"
"Q80WJ1","Ggn","Ggn"
"Q80WJ6","Abcc12","Abcc12 Mrp9"
"Q80WJ7","Mtdh","Mtdh Lyric"
"Q80WK2","Slc51b","Slc51b Ostb"
"Q80WM3","Cplx4","Cplx4"
"Q80WM4","Hapln4","Hapln4 Bral2 Lpr4"
"Q80WM9","Tnfrsf14","Tnfrsf14 hvem"
"Q80WP8","Gadl1","Gadl1"
"Q80WQ2","Vac14","Vac14 D8Wsu151e"
"Q80WQ6","Rhbdf2","Rhbdf2 Irhom2 Rhbdl6 Rhor"
"Q80WQ9","Zbed4","Zbed4 Kiaa0637"
"Q80WR1","Tspan18","Tspan18"
"Q80WS1","Rimklb","Rimklb Fam80b Kiaa1238"
"Q80WT0","Jph4","Jph4 Jphl1"
"Q80WT2","Dmrt3","Dmrt3"
"Q80WT4","Gpr176","Gpr176 Agr9 Gm1012"
"Q80WV3","Chst2","Chst2 Gst2"
"Q80WW9","Ddrgk1","Ddrgk1 Ufbp1"
"Q80WY3","Nanos1","Nanos1 Nos"
"Q80X19","Col14a1","Col14a1"
"Q80X41","Vrk1","Vrk1"
"Q80X44","Zbtb24","Zbtb24 Bif1 Bsg1 Znf450"
"Q80X50","Ubap2l","Ubap2l"
"Q80X56","Trim69","Trim69 Rnf36 Trif"
"Q80X71","Tmem106b","Tmem106b"
"Q80X73","Pelo","Pelo"
"Q80X80","C2cd2l","C2cd2l Tmem24"
"Q80X86","Armc12","Armc12"
"Q80X89","Ugt2a1","Ugt2a1"
"Q80X90","Flnb","Flnb"
"Q80X95","Rraga","Rraga"
"Q80XB4","Nrap","Nrap"
"Q80XD8","Prap1","Prap1 Upa"
"Q80XF5","Il22ra2","Il22ra2"
"Q80XG9","Lrrtm4","Lrrtm4"
"Q80XH2","Impg2","Impg2"
"Q80XI3","Eif4g3","Eif4g3"
"Q80XI4","Pip4k2b","Pip4k2b Pip5k2b"
"Q80XI6","Map3k11","Map3k11 Mlk3"
"Q80XJ2","Rnf168","Rnf168"
"Q80XK6","Atg2b","Atg2b"
"Q80XL1","Cblc","Cblc Cbl3"
"Q80XP9","Wnk3","Wnk3"
"Q80XR2","Atp2c1","Atp2c1 Pmr1"
"Q80XU3","Nucks1","Nucks1 Nucks"
"Q80XU8","Lrfn4","Lrfn4 Salm3"
"Q80XZ4","Il22ra1","Il22ra1"
"Q80Y17","Llgl1","Llgl1 Llglh"
"Q80Y20","Alkbh8","Alkbh8"
"Q80Y24","Prickle2","Prickle2"
"Q80Y50","Camta2","Camta2 Kiaa0909"
"Q80Y61","Baiap2l2","Baiap2l2"
"Q80Y75","Dnajb13","Dnajb13 Tsarg Tsarg3 Tsarg6"
"Q80Y83","Dixdc1","Dixdc1 Ccd1 Kiaa1735"
"Q80Y84","Kdm5b","Kdm5b Jarid1b Kiaa4034 Plu1"
"Q80Y86","Mapk15","Mapk15 Erk7 Erk8"
"Q80Y98","Ddhd2","Ddhd2 Kiaa0725 Samwd1"
"Q80YA3","Ddhd1","Ddhd1"
"Q80YA8","Crb2","Crb2"
"Q80YA9","Cnksr2","Cnksr2 Kiaa0902"
"Q80YC5","F12","F12"
"Q80YD1","Supv3l1","Supv3l1 Suv3l1"
"Q80YE4","Aatk","Aatk Aatyk Kiaa0641 Lmr1 Lmtk1"
"Q80YE7","Dapk1","Dapk1"
"Q80YF9","Arhgap33","Arhgap33 Snx26 Tcgap"
"Q80YP0","Cdk3","Cdk3 Cdk3-ps Cdkn3"
"Q80YQ2","Med23","Med23 Crsp3 Kiaa1216 Sur2"
"Q80YR4","Znf598","Znf598 Zfp598"
"Q80YR6","Rbbp8","Rbbp8 Ctip"
"Q80YR7","Clspn","Clspn"
"Q80YV2","Zc3hc1","Zc3hc1 Nipa"
"Q80YV3","Trrap","Trrap"
"Q80YV4","Pank4","Pank4"
"Q80YW5","Bspry","Bspry"
"Q80YX1","Tnc","Tnc Hxb"
"Q80Z10","Astn2","Astn2 Kiaa0634"
"Q80Z19","Muc2","Muc2"
"Q80Z24","Negr1","Negr1 Kiaa3001 Ntra"
"Q80Z25","Ofd1","Ofd1"
"Q80Z37","Topors","Topors"
"Q80Z38","Shank2","Shank2 Cortbp1 Kiaa1022"
"Q80Z64","Nanog","Nanog Ecat4 Enk"
"Q80Z71","Tnn","Tnn Tnw"
"Q80ZA0","Itln1b","Itln1b Itln2 Itlnb"
"Q80ZD3","Slc26a11","Slc26a11"
"Q80ZD8","Amigo1","Amigo1 Ali2 Amigo Kiaa1163"
"Q80ZD9","Amigo2","Amigo2 Ali1"
"Q80ZE3","Siglec10","Siglec10 Siglecg"
"Q80ZF2","Ifne","Ifne Ifne1 Ifnt1"
"Q80ZF8","Adgrb3","Adgrb3 Bai3"
"Q80ZI1","Trnp1","Trnp1 Trnp"
"Q80ZI6","Lrsam1","Lrsam1"
"Q80ZJ1","Rap2a","Rap2a"
"Q80ZK9","Wdtc1","Wdtc1 Gm695"
"Q80ZQ9","Abitram","Abitram Fam206a Simiate"
"Q80ZV0","Rnaseh2b","Rnaseh2b Dleu8"
"Q810A7","Ddx42","Ddx42"
"Q810B3","Bsx","Bsx"
"Q810B6","Ankfy1","Ankfy1 Ankhzn Kiaa1255"
"Q810B7","Slitrk5","Slitrk5"
"Q810B8","Slitrk4","Slitrk4"
"Q810B9","Slitrk3","Slitrk3"
"Q810C0","Slitrk2","Slitrk2"
"Q810C1","Slitrk1","Slitrk1 Sltk1"
"Q810F0","Prima1","Prima1"
"Q810I2","Trim50","Trim50"
"Q810J1","Psg22","Psg22"
"Q810J8","Zfyve1","Zfyve1"
"Q810K3","Sgpp2","Sgpp2"
"Q810L3","Chfr","Chfr"
"Q810M6","Liat1","Liat1"
"Q810S1","Mcub","Mcub Ccdc109b"
"Q810U3","Nfasc","Nfasc"
"Q810U4","Nrcam","Nrcam Kiaa0343"
"Q810Y8","Pramel7","Pramel7"
"Q811B1","Xylt1","Xylt1"
"Q811B3","Adamts12","Adamts12"
"Q811D0","Dlg1","Dlg1 Dlgh1"
"Q811D2","Ankrd26","Ankrd26 Kiaa1074"
"Q811G0","Bbs9","Bbs9 Pthb1"
"Q811H0","Zbtb42","Zbtb42"
"Q811J3","Ireb2","Ireb2 Irp2"
"Q811P8","Arhgap32","Arhgap32 Grit Kiaa0712 Rics"
"Q811Q9","Pcyt1b","Pcyt1b"
"Q811S7","Ubp1","Ubp1 Cp2b Nf2d9"
"Q811T9","Disc1","Disc1"
"Q811U4","Mfn1","Mfn1"
"Q811W0","Sox21","Sox21"
"Q811W2","Cyp26b1","Cyp26b1"
"Q812A3","Ankrd23","Ankrd23 Darp"
"Q812A5","Prr5","Prr5 Protor1"
"Q812C9","Aoc2","Aoc2"
"Q812E0","Cpeb2","Cpeb2"
"Q812F3","Hyal5","Hyal5"
"Q812F8","Mgat4b","Mgat4b"
"Q812G0","Mgat4a","Mgat4a"
"Q8BFP9","Pdk1","Pdk1"
"Q8BFQ3","Gpr68","Gpr68 Ogr1"
"Q8BFQ4","Wdr82","Wdr82 Cdw5"
"Q8BFU0","Rspo2","Rspo2"
"Q8BFU2","H2ac25","H2ac25 H2aw Hist3h2a"
"Q8BFU8","Slc17a8","Slc17a8 Vglut3"
"Q8BFV2","Pcid2","Pcid2"
"Q8BFW3","Ppp1r15b","Ppp1r15b"
"Q8BFW4","Trim65","Trim65"
"Q8BFW6","Entpd3","Entpd3"
"Q8BFX1","Rnf187","Rnf187"
"Q8BFY0","Pirt","Pirt"
"Q8BFY6","Pef1","Pef1"
"Q8BFZ4","Fbxl21","Fbxl21 Fbl21 Fbxl3b"
"Q8BG07","Pld4","Pld4"
"Q8BG15","Ctdspl2","Ctdspl2 D2Ertd485e"
"Q8BG16","Slc6a15","Slc6a15 B0at2 Ntt73"
"Q8BG19","Tmtc4","Tmtc4"
"Q8BG21","Cacfd1","Cacfd1"
"Q8BG22","Clca2","Clca2 Clca5"
"Q8BG26","Rusc1","Rusc1 Nesca"
"Q8BG30","Nelfa","Nelfa Whsc2 Whsc2h"
"Q8BG32","Psmd11","Psmd11"
"Q8BG36","Dmrt2","Dmrt2"
"Q8BG39","Sv2b","Sv2b Kiaa0735"
"Q8BG40","Katnb1","Katnb1"
"Q8BG41","Psmb11","Psmb11"
"Q8BG47","Rnf152","Rnf152"
"Q8BG48","Stk17b","Stk17b Drak2"
"Q8BG51","Rhot1","Rhot1 Arht1"
"Q8BG54","Sptlc3","Sptlc3 Sptlc2l"
"Q8BG55","Gpr171","Gpr171"
"Q8BG58","P4htm","P4htm Ph4"
"Q8BG60","Txnip","Txnip Vdup1"
"Q8BG84","Lair1","Lair1"
"Q8BG87","Tet3","Tet3"
"Q8BG89","Znf365","Znf365 Dbz Kiaa0844 Zfp365"
"Q8BG93","Nudt15","Nudt15 Mth2"
"Q8BG99","Pknox2","Pknox2 Prep2"
"Q8BGA3","Lrrtm2","Lrrtm2 Kiaa0416"
"Q8BGC4","Ptgr3","Ptgr3 Zadh2"
"Q8BGD4","Slco4c1","Slco4c1 Oatp4c1 Slc21a20"
"Q8BGD5","Cpt1c","Cpt1c"
"Q8BGD6","Slc38a9","Slc38a9"
"Q8BGD7","Npas4","Npas4 Nxf"
"Q8BGE5","Fancm","Fancm Kiaa1596"
"Q8BGE6","Atg4b","Atg4b Apg4b Autl1 Kiaa0943"
"Q8BGE7","Trim6","Trim6"
"Q8BGF7","Pan2","Pan2 Kiaa0710 Usp52"
"Q8BGF8","Slc35d3","Slc35d3 Frcl1"
"Q8BGG0","Slc30a8","Slc30a8 Znt8"
"Q8BGG7","Ubash3b","Ubash3b Sts1"
"Q8BGH4","Reep1","Reep1 D6Ertd253e"
"Q8BGI3","Insig1","Insig1"
"Q8BGJ0","Zdhhc15","Zdhhc15"
"Q8BGJ9","U2af1l4","U2af1l4 U2af26"
"Q8BGK6","Slc7a6","Slc7a6 Kiaa0245"
"Q8BGL3","Sult2a8","Sult2a8 2810007J24Rik"
"Q8BGM5","Best2","Best2 Vmd2l1"
"Q8BGM7","Prkag3","Prkag3"
"Q8BGN3","Enpp6","Enpp6"
"Q8BGQ1","Vipas39","Vipas39 Spe39 Vipar"
"Q8BGQ2","Csrnp2","Csrnp2 Fam130a1 Taip12"
"Q8BGQ4","Pomt2","Pomt2"
"Q8BGQ7","Aars1","Aars1 Aars"
"Q8BGR2","Lrrc8d","Lrrc8d Lrrc5"
"Q8BGS1","Epb41l5","Epb41l5 Epb4.1l5 Kiaa1548"
"Q8BGS7","Cept1","Cept1"
"Q8BGT0","Ostm1","Ostm1 Gl"
"Q8BGT1","Flrt3","Flrt3 Kiaa1469"
"Q8BGT6","Micall1","Micall1 D15Mit260 Kiaa1668 Mirab13"
"Q8BGU2","Cbln2","Cbln2"
"Q8BGU5","Ccny","Ccny Cfp1"
"Q8BGV3","Tacstd2","Tacstd2 Trop2"
"Q8BGV5","Znf8","Znf8 Zfp128"
"Q8BGV7","Kctd13","Kctd13 Poldip1"
"Q8BGV8","Mief1","Mief1 Mid51 Smcr7l"
"Q8BGV9","Atg4d","Atg4d Apg4d Autl4"
"Q8BGW0","Themis","Themis"
"Q8BGW1","Fto","Fto Kiaa1752"
"Q8BGW3","Bhlhe23","Bhlhe23 Bhlhb4 H20"
"Q8BGW5","Nabp1","Nabp1 Obfc2a Ssb2"
"Q8BGX0","Trim23","Trim23 Arfd1"
"Q8BGY9","Slc5a7","Slc5a7 Cht1"
"Q8BGZ3","Dcaf12","Dcaf12 Kiaa1892 Wdr40a"
"Q8BGZ7","Krt75","Krt75 Kb18"
"Q8BH04","Pck2","Pck2"
"Q8BH06","Il17re","Il17re"
"Q8BH16","Fbxl2","Fbxl2"
"Q8BH31","Mfsd8","Mfsd8"
"Q8BH35","C8b","C8b"
"Q8BH43","Wasf2","Wasf2 Wave2"
"Q8BH50","Ark2n","Ark2n"
"Q8BH52","Creb3l2","Creb3l2 Bbf2h7"
"Q8BH53","Cfap69","Cfap69"
"Q8BH57","Wdr48","Wdr48 Kiaa1449 Uaf1"
"Q8BH59","Slc25a12","Slc25a12"
"Q8BH60","Gopc","Gopc Cal"
"Q8BH61","F13a1","F13a1 F13a"
"Q8BH64","Ehd2","Ehd2"
"Q8BH66","Atl1","Atl1 Spg3a"
"Q8BH75","Rnf41","Rnf41 Flrf Nrdp1"
"Q8BH82","Napepld","Napepld Mbldc1"
"Q8BH95","Echs1","Echs1"
"Q8BH97","Rcn3","Rcn3 D7Ertd671e"
"Q8BH98","Mboat1","Mboat1 Lpeat1 Oact1"
"Q8BHA3","Dtd2","Dtd2"
"Q8BHB0","Nod1","Nod1"
"Q8BHB3","Lax1","Lax1 Lax"
"Q8BHC0","Lyve1","Lyve1 Crsbp1 Xlkd1"
"Q8BHC1","Rab39b","Rab39b"
"Q8BHC7","Rhbdd1","Rhbdd1 Rhbdl4 MSD-50 MSD50"
"Q8BHE3","Atcay","Atcay"
"Q8BHE4","Tmem108","Tmem108"
"Q8BHG1","Nrdc","Nrdc Nrd1"
"Q8BHH1","Aqp11","Aqp11"
"Q8BHI7","Elovl5","Elovl5"
"Q8BHJ5","Tbl1xr1","Tbl1xr1 Ira1 Tblr1"
"Q8BHJ7","Gabra5","Gabra5"
"Q8BHJ9","Slu7","Slu7 D11Ertd730e"
"Q8BHK2","Scn3b","Scn3b"
"Q8BHK3","Slc36a2","Slc36a2 Pat2 Tramd1"
"Q8BHK6","Slamf7","Slamf7"
"Q8BHL4","Gprc5a","Gprc5a Rai3 Raig1"
"Q8BHN0","Ppm1l","Ppm1l Kiaa4175"
"Q8BHN1","Txlng","Txlng Lrg"
"Q8BHN3","Ganab","Ganab G2an Kiaa0088"
"Q8BHP7","Olfml2a","Olfml2a"
"Q8BHS6","Armcx3","Armcx3 Alex3"
"Q8BHS8","Sybu","Sybu Golsyn Kiaa1472"
"Q8BHX3","Cdca8","Cdca8"
"Q8BHY3","Ano1","Ano1 Tmem16a"
"Q8BHY8","Snx14","Snx14"
"Q8BHZ5","Cyren","Cyren Mri"
"Q8BI06","Cemip","Cemip Hybid Kiaa1199"
"Q8BI36","Jkamp","Jkamp Jamp"
"Q8BI41","Synb","Synb"
"Q8BI55","Dyrk4","Dyrk4"
"Q8BI79","Ccdc40","Ccdc40 Lnks"
"Q8BI84","Mia3","Mia3 Kiaa0268 Tango"
"Q8BIA3","Mkx","Mkx"
"Q8BIA4","Fbxw8","Fbxw8"
"Q8BID6","Zbtb46","Zbtb46 Btbd4"
"Q8BIE6","Frmd4a","Frmd4a Frmd4 Kiaa1294"
"Q8BIF0","Cd99l2","Cd99l2 Mic2l1"
"Q8BIF2","Rbfox3","Rbfox3 D11Bwg0517e Hrnbp3"
"Q8BIJ7","Rufy1","Rufy1 Rabip4"
"Q8BIK4","Dock9","Dock9 D14Wsu89e Kiaa1058 Ziz1"
"Q8BIK6","Tmprss7","Tmprss7"
"Q8BIL5","Hook1","Hook1"
"Q8BIW9","Chtf18","Chtf18 Ctf18"
"Q8BIX9","Ficd","Ficd D5Ertd40e"
"Q8BIY3","Zc3h12d","Zc3h12d Mcpip4 Tfl"
"Q8BIZ1","Anks1b","Anks1b"
"Q8BJ34","Marf1","Marf1 Kiaa0430 Lkap"
"Q8BJ37","Tdp1","Tdp1"
